ItemID,Name,Price,Category,Description
COFFEE001,Classic Latte,24,Coffee,Fusion of espresso with milk
COFFEE002,Oat Latte,21,Coffee,Fusion of espresso and oat milk
COFFEE003,Americano,18,Coffee,Refreshing black coffee
COFFEE004,Cappuccino,19,Coffee,Fusion of espresso and milk froth
COFFEE005,Caramel Macchiato,20,Coffee,Fusion of espresso with milk and caramel
COFFEE006,Coconut Latte,23,Coffee,Fusion of espresso and raw coconut milk
COFFEE007,Flat White,25,Coffee,Sweet and sour white coffee
COFFEE008,Mocha,23,Coffee,Fusion of espresso with milk and chocolate
DRINKS111,Milk,10,Drinks,Pure fresh milk
DRINKS112,Chocolate Milk,15,Drinks,Fusion of chocolate and fresh milk
DRINKS113,Green Tea,15,Drinks,Slightly bitter green tea
DRINKS114,Black Tea,15,Drinks,Aromatic red tea
DRINKS115,Lemonade,8,Drinks,Fusion of fresh lemon and water
DRINKS116,Orange Juice,12,Drinks,Freshly squeezed orange juice
DRINKS117,Apple Juice,12,Drinks,Freshly squeezed apple juice
DRINKS118,Soda Water,8,Drinks,Sparkling soda
DESSERT221,Tiramisu,10,Dessert,Finger biscuits with cheese and cocoa powder
DESSERT222,Strawberry mousse,16,Dessert,Fresh strawberries with light mousse
DESSERT223,Mango mousse,15,Dessert,Fresh mango with light mousse
DESSERT224,Chocolate Mousse,15,Dessert,Chocolate meets light mousse
DESSERT225,Cream Cake,15,Dessert,Classic Buttercream with cake embryo
DESSERT226,Cookies,20,Dessert,Crispy biscuits made with butter
DESSERT227,Basque,38,Dessert,Slightly charred cheesecake
DESSERT228,Ice Cream,15,Dessert,Cool and delicate sweets
